Ticket #,Customer Complaint,niveau_urgence,categorie,resume_fr
250635,Comcast Cable Internet Speeds,Normal,Internet,Cette plainte concerne les vitesses de l'accès Internet fourni par Comcast.
223441,Payment disappear - service got disconnected,Élevé,Facturation | Service Client | Matériel,Le paiement a disparu suite à une déconnexion non anticipée.
242732,Speed and Service,Normal,Service Client,Problème de performances et de service
277946,Comcast Imposed a New Usage Cap of 300GB that punishes streaming.,Élevé,Internet,Limitation de la consommation de données de 300GB avec pénalité pour les streaming
307175,Comcast not working and no service to boot,Élevé,Internet,Aucun accès au service d'Internet
338519,ISP Charging for arbitrary data limits with overage fees,Élevé,Facturation,Facturation des données avec des frais supplémentaires
361148,Throttling service and unreasonable data caps,Élevé,Service Client,Le service de débit limité et les caps de données injustifiés causent des problèmes
359792,Comcast refuses to help troubleshoot and correct my service.,Élevé,Service Client,Le client est confronté à des problèmes de service technique sans support de la part de l'entreprise.
318072,Comcast extended outages,Élevé,Service Client,L'internet comcast est en panne
371214,Comcast Raising Prices and Not Being Available To Ask Why,Critique,Service Client,L'entreprise Comcast augmente ses tarifs sans expliquer pourquoi et ne propose pas la possibilité de poser des questions
255938,Billing after service was asked to be disconnected,Normal,Facturation,Le client demande une facturation après avoir demandé la désactivation de son service.
276409,YAHOO FAILURE TO RESTORE EMAIL SEARCH FEATURE,Normal,Service Client,La fonction de recherche de messagerie électronique de Yahoo n'a pas été restituée.
339282,Comcast Violating Open Internet Rules by Blocking HBO Go Access on Sony Consoles,Élevé,Service Client,Complainte concernant la violation des règles d'internet libre par Comcast en bloquant l'accès à HBO Go sur les consoles Sony
360178,Internet speed,Normal,Internet,Dégradation de la vitesse Internet
376268,Internet Disconnects Every Night,Normal,Internet,Le client se plaint d'un arrêt de connexion Internet chaque nuit.
370137,Internet complaint,Normal,Internet,"Problème avec l'internet, pas de connexion ou vitesse basse"
363695,Internet Availability and Speed,Normal,Internet,Problème de disponibilité et de vitesse à l'internet
238694,Comcast owes me $65 and claims I need to return equipment I never had,Élevé,Facturation,Le client estime être dû 65 $ et accuse l'opérateur d'exiger le retour de matériel qu'il n'a jamais reçu
230876,Horrible Internet Service,Normal,Internet,Problème de connexion internet
318725,Failure to provide services that I am billed for.,Normal,Service Client,Nous n'avons pas reçu les services pour lesquels nous sommes facturés.
327657,Internet out all the time but they have a monopoly,Normal,Service Client,"Fonctionnement Internet intermittent, problème de monopolisation de la fourniture du service"
328742,horrible cable service and customer service,Critique,Service Client,Le client est mécontent de l'accueil et des prestations du service client ainsi que de la qualité du service cable.
328165,Speed,Normal,Service Client,Le service Internet est lent.
370538,Comcast monopoly bundling practices,Normal,Service Client,Critique l'offre de services de Comcast liée au bundling
370363,COMCAST!,Normal,Service Client,"Le client exprime son insatisfaction concernant le service fourni par Comcast, il utilise le terme « COMCAST! » pour exprimer son colère et son mécontentement."
270163,bait and switch,Normal,Facturation,Le client s'est senti trompé par une politique de facturation non divulguée
355976,Comcast Customer Service,Normal,Service Client,Problème technique avec le service à la clientèle
260651,Apartment Management's Exclusivity Contract with Comcast,Normal,Service Client,Le client exprime des inquiétudes concernant un contrat avec Comcast lié à l'exclusivité de leur service
305340,Unable to reach a Comcast agent for internet and billing issues.,Élevé,Internet | Facturation,Difficulté à joindre un agent pour résoudre des problèmes Internet et facturation
360759,Wifi internet not working as well,Normal,Service Client,Problème avec le wifi internet
265487,Comcast data caps,Normal,Service Client,Le client est préoccupé par les limites de données mises en place par Comcast.
296608,Comcast Internet Data Cap,Normal,Internet,Le client est en train de connaître une surconsommation de données avec la fonctionnalité Data Cap de Comcast.
310990,XFINITY Movers Edge program,Normal,Service Client,Le client semble se plaindre d'un programme XFINITY Movers qui ne répond pas à ses attentes.
325342,Comcast Data Internet Usage,Normal,Internet,La clientèle exprime des préoccupations concernant son débit internet à cause d'un usage des données
337489,Comcast not refunding my credit,Élevé,Facturation,La société de services Internet Comcast ne rembourse pas mon crédit
354116,Comcast,Non spécifié,Internet | Facturation,Un utilisateur a mentionné le nom d'un fournisseur d'accès à internet : Comcast.
371829,No Service,Normal,Service Client,Aucune offre de service n'est disponible
373874,Comcast,Normal,Service Client,"Le client exprime des inquiétudes concernant Comcast, mais sans fournir de détails spécifiques."
300824,"INTERNET , BILLING AND SERVIE ISSUES",Normal,Internet | Facturation | Service Client,"Problèmes techniques Internet, Facturation et service client"
348923,Comcast blocking DirecTv signals,Normal,Service Client,Le client se plaint que Comcast bloque les signaux de DirecTV.
302574,pmts,Normal,Facturation,Le client exprime une inquiétude concernant les paiements.
343346,Slow Internet Speed,Normal,Internet,La vitesse de l'internet est trop lente.
286768,not getting what I am paying for with internet,Normal,Internet,Le client n'est pas satisfait de la qualité de son accès Internet
223179,Comcast bandwidth every evening drops to 10% of what is promised to our business,Élevé,Service Client,"Les vitesses de bande passante de Comcast diminuent considérablement chaque soir, atteignant 10% des vitesses promises à notre entreprise."
235980,isp dishonest about speeds,Normal,Service Client,L'ISP donne de fausses informations sur les débits
236469,Deceptive sales- change in billing amount etc.,Élevé,Facturation,La société a trompé le client en modifiant la facture sans son accord.
288602,Comcast Billing Dispute,Normal,Facturation,Litige de facturation avec Comcast
309379,Comcast,Normal,Internet,Problème de connexion internet avec Comcast
351079,Comcast Billing and Service Issues,Normal,Facturation,Problèmes de facturation et de service avec Comcast
366705,Cable prices rising,Normal,Facturation,Le prix des câbles augmente.
368705,service issues,Normal,Service Client,Problèmes avec les services fournis
347369,HBO GO on Playstation 4,Normal,Service Client,Un client a des problèmes d'accès à HBO GO sur sa console Playstation 4
291784,internet connectivity,Normal,Internet,La connectivité à internet est défaillante.
308478,Email issues,Normal,Internet,Problème technique avec le courriel
309851,Monopoly,Normal,Matériel,Mon appareil (Monopoly) est cassé
367342,Complaint against Xfinity/Comcast,Normal,Service Client,La cliente plainte le service client de Xfinity/Comcast
227209,Comcast credit after cancellation has not been received after more than a year,Critique,Facturation,Le client n'a pas reçu sa déduction crédit après avoir annulé son abonnement pendant plus d'une année.
266376,Comcast False Promises,Normal,Service Client,Le client se plaint de promesses non tenues par Comcast concernant son service
325273,Comcast Blocking UDP Port 443,Élevé,Service Client,Comcast nous bloque un port essentiel utilisé pour la navigation Internet par le protocole UDP
342435,Issues with Comcast,Normal,Service Client,Problèmes avec Comcast
348514,Comcast Refuses to Schedule a Future Service Stoppage,Élevé,Service Client,La société Comcast refuse de fixer un arrêt de service à un moment futur.
352100,Comcast,Normal,Facturation,Le client s'exprime contre Comcast
355887,Overbilling,Élevé,Facturation,Le client se plaint d'être facturé à tort pour des services qu'il n'a pas utilisés.
356118,"Comcast - failure to provide service, refusal to void contract",Critique,Service Client,La clientèle exprime son mécontentement face à la rupture de service et au refus de valider le contrat.
363869,Spotty Comcast service,Normal,Internet,Service Internet de Comcast fonctionne de manière intermittent
369398,without service despite willingness to pay,Critique,Service Client,Le client souhaite un service malgré son intention de paiement
226231,Issues with Xfinity/Comcast,Normal,Internet,Le client est insatisfait du service Internet Xfinity/Comcast
241880,Cable Modem rent for Internet access,Normal,Facturation,Demande de facture pour accès Internet
360187,Comcast/Xfinity,Normal,Service Client,Problème de qualité de service
223960,Speed issues,Normal,Service Client,Problème de vitesse internet
355934,AT&T,Normal,Internet,Un client s'est plaint de la qualité de son internet fourni par AT&T.
211976,Fraudulent claims reported to collections agency,Normal,Service Client,La clientèle a signalé des prétentions frauduleuses au bureau de gestion des créances
243998,Comcast using a Data Cap to take however much money they like,Élevé,Internet,Le fournisseur d'accès Internet de la cliente ressent que la limite de données est abusive et permet au fournisseur de s'enrichir à son compte.
265755,Comcast Data Cap,Normal,Service Client,Le client exprime son inquiétude concernant la limitation de la quantité de données par le fournisseur Comcast.
230907,Speed of service,Normal,Service Client,Le client exprime son insatisfaction concernant le temps needed pour la résolution de son problème
231273,Comcast's Monopolistic Practices and Data Capping,Non spécifié,Service Client,La cliente se plaint des pratiques monopolistiques de Comcast et du recours à des plafonds de données.
231292,"Comcast data cap ""trials""",Normal,Internet,Le client se plaint de la limitation des données (data cap) qui lui est imposée par Comcast lors d'une période d'essai.
231377,Comcast billing problem,Normal,Facturation,Problème de facturation avec Comcast
252681,Comcast Needs Competition,Normal,Internet,"Le client regrette l'absence de concurrence pour les services Internet, estimant qu'il faut mettre en place des solutions alternatives"
268101,Comcast services/billing issues,Normal,Facturation,Problèmes de facturation des services de Comcast
269066,Incorrect Bill,Normal,Facturation,Facture incorrecte
273420,Legality of data caps,Normal,Service Client,La cliente souhaite savoir s'il est légal de mettre des plafonds de données
278509,Data caps,Normal,Service Client,Problème de données limitées sur la connexion Internet
279656,Comcast Added Service After I Declined It,Normal,Service Client,Comcast a ajouté un service malgré mon refus
288771,Comcast Misled With Overage Policy,Élevé,Facturation,Le client a été trompé concernant la politique de surconsommation (oversionge)
293512,Cable service and telephone connect not complete,Normal,Service Client,Problème de mise en place du service de câble et téléphone
297104,Comcast data cap,Normal,Internet,Le client atteint la limite de données de son abonnement Internet
303412,Comcast Won't Cancel My Service,Critique,Service Client,La société Comcast refuse de reporter ou d'annuller mon service de téléphonie et Internet
304450,Data Caps,Normal,Service Client,Problème avec les limites de transfert de données - le client dépasse les limites définies et souhaite plus d'informations ou une augmentation de ces limites.
305137,Comcast disconnecting service before due date,Critique,Service Client,Service interrompu prématurément sans que le client en soit averti
305982,comcast data cap,Normal,Internet,Le client a dépassé sa limite de données avec Comcast.
307799,Comcast,Normal,Autre,"Problème avec l'entreprise ""Comcast"""
308171,Unbelievable Treatment,Critique,Service Client,"Le client est insatisfait du traitement qu'il a reçu par notre équipe, qualifiant la situation d'inoubliable de mauvaise manière"
312746,Denial of Comcast Business (Phone and internet) Service to my dental practice,Élevé,Service Client,Le client nous plaint de la suspension de ses services de téléphone et internet pour son cabinet dentaire sans motif
311725,Comcast's Terrible Service - How are they still in business?,Élevé,Service Client,Problèmes de service client avec Comcast
313949,they are forcing me for my bank account information by suspending my services for no reason (I also feel like they are committing corporate theft).,Élevé,Service Client,"Les services ont été suspendus sans motif légitime, demandant aussi des informations bancaires"
315173,Comcast discontinuation of service issue,Normal,Service Client,Le client exprime son inquiétude liée à la discontinuation du service par le fournisseur Comcast.
317945,Comcast customer service,Normal,Service Client,Réclamation concernant le service client de Comcast
318301,Comcast,Normal,Service Client,"Problème avec le fournisseur de service Internet ""Comcast"""
322511,"Comcast bandwidth data caps in Atlanta, GA",Normal,Internet,Le client se plaint des données de bande passante de Comcast à Atlanta en Géorgie.
